pf, N, m, T, sigma, cut, g_sigma, error, RDF_CS, RDF_LJ
5.000e-02, 6.000e+03, 1.000e+00, 1.900e+00, 1.000e+00, 4.500e+00, 1.700e+00, 0.000e+00, 1.137e+00, 1.197e+00
5.000e-02, 6.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 1.646e+00, 0.000e+00, 1.137e+00, 1.197e+00
5.000e-02, 6.000e+03, 1.000e+00, 2.100e+00, 1.000e+00, 4.500e+00, 1.592e+00, 0.000e+00, 1.137e+00, 1.197e+00
5.000e-02, 6.000e+03, 1.000e+00, 2.200e+00, 1.000e+00, 4.500e+00, 1.575e+00, 0.000e+00, 1.137e+00, 1.197e+00
5.000e-02, 6.000e+03, 1.000e+00, 2.300e+00, 1.000e+00, 4.500e+00, 1.555e+00, 0.000e+00, 1.137e+00, 1.197e+00
5.000e-02, 6.000e+03, 1.000e+00, 2.400e+00, 1.000e+00, 4.500e+00, 1.536e+00, 0.000e+00, 1.137e+00, 1.197e+00
5.000e-02, 6.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 1.491e+00, 0.000e+00, 1.137e+00, 1.197e+00
5.000e-02, 6.000e+03, 1.000e+00, 2.600e+00, 1.000e+00, 4.500e+00, 1.492e+00, 0.000e+00, 1.137e+00, 1.197e+00
5.000e-02, 6.000e+03, 1.000e+00, 2.700e+00, 1.000e+00, 4.500e+00, 1.460e+00, 0.000e+00, 1.137e+00, 1.197e+00
5.000e-02, 6.000e+03, 1.000e+00, 2.800e+00, 1.000e+00, 4.500e+00, 1.435e+00, 0.000e+00, 1.137e+00, 1.197e+00
5.000e-02, 6.000e+03, 1.000e+00, 2.900e+00, 1.000e+00, 4.500e+00, 1.427e+00, 0.000e+00, 1.137e+00, 1.197e+00
5.000e-02, 6.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 1.422e+00, 0.000e+00, 1.137e+00, 1.197e+00
5.000e-02, 6.000e+03, 1.000e+00, 3.100e+00, 1.000e+00, 4.500e+00, 1.401e+00, 0.000e+00, 1.137e+00, 1.197e+00
