pf, N, m, T, sigma, cut, Z, error, EOS_PY, EOS_CS, EOS_LJ
1.000e-01, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 1.359e+00, 9.563e-04, 1.519e+00, 1.521e+00, 1.279e-01
2.000e-01, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 1.926e+00, 5.623e-03, 2.375e+00, 2.406e+00, -4.011e-01
3.000e-01, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 2.862e+00, 2.521e-02, 3.816e+00, 3.974e+00, -7.833e-01
4.000e-01, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 4.633e+00, 4.860e-02, 6.333e+00, 6.926e+00, -1.218e-01
5.000e-01, 3.000e+03, 1.000e+00, 1.000e+00, 1.000e+00, 4.500e+00, 8.474e+00, 5.014e-02, 1.100e+01, 1.300e+01, 3.261e+00
