pf,N,m,T,sigma,cut,enskog_F-CS,enskog_F-kolafa,enskog_F-thol,enskog_F-mecke,enskog_F-gottschalk,enskog_F-hess,enskog_RDF_CS,enskog_RDF_LJ
3.000e-01,3.000e+03,1.000e+00,2.600e+00,1.000e+00,4.500e+00,9.997e-01,9.441e-01,9.735e-01,9.754e-01,9.691e-01,8.780e-01,8.780e-01,8.780e-01
1.000e-01,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,4.186e-01,4.241e-01,4.154e-01,4.160e-01,4.140e-01,4.371e-01,4.371e-01,4.371e-01
3.000e-01,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,1.014e+00,9.595e-01,9.888e-01,9.906e-01,9.850e-01,8.939e-01,8.939e-01,8.939e-01
1.000e-01,3.000e+03,1.000e+00,2.800e+00,1.000e+00,4.500e+00,4.282e-01,4.354e-01,4.256e-01,4.262e-01,4.242e-01,4.487e-01,4.487e-01,4.487e-01
3.000e-01,3.000e+03,1.000e+00,2.800e+00,1.000e+00,4.500e+00,1.028e+00,9.745e-01,1.004e+00,1.006e+00,1.001e+00,9.096e-01,9.096e-01,9.096e-01
1.000e-01,3.000e+03,1.000e+00,2.900e+00,1.000e+00,4.500e+00,4.378e-01,4.466e-01,4.357e-01,4.362e-01,4.343e-01,4.601e-01,4.601e-01,4.601e-01
3.000e-01,3.000e+03,1.000e+00,2.900e+00,1.000e+00,4.500e+00,1.042e+00,9.893e-01,1.018e+00,1.020e+00,1.016e+00,9.251e-01,9.251e-01,9.251e-01
1.000e-01,3.000e+03,1.000e+00,3.000e+00,1.000e+00,4.500e+00,4.472e-01,4.576e-01,4.456e-01,4.460e-01,4.442e-01,4.712e-01,4.712e-01,4.712e-01
3.000e-01,3.000e+03,1.000e+00,3.000e+00,1.000e+00,4.500e+00,1.055e+00,1.004e+00,1.033e+00,1.035e+00,1.030e+00,9.404e-01,9.404e-01,9.404e-01
1.000e-01,3.000e+03,1.000e+00,3.100e+00,1.000e+00,4.500e+00,4.565e-01,4.684e-01,4.553e-01,4.557e-01,4.539e-01,4.822e-01,4.822e-01,4.822e-01
3.000e-01,3.000e+03,1.000e+00,3.100e+00,1.000e+00,4.500e+00,1.069e+00,1.018e+00,1.047e+00,1.049e+00,1.045e+00,9.556e-01,9.556e-01,9.556e-01
1.000e-01,3.000e+03,1.000e+00,3.200e+00,1.000e+00,4.500e+00,4.658e-01,4.791e-01,4.648e-01,4.652e-01,4.634e-01,4.930e-01,4.930e-01,4.930e-01
3.000e-01,3.000e+03,1.000e+00,3.200e+00,1.000e+00,4.500e+00,1.082e+00,1.032e+00,1.061e+00,1.063e+00,1.059e+00,9.705e-01,9.705e-01,9.705e-01
1.000e-01,3.000e+03,1.000e+00,3.300e+00,1.000e+00,4.500e+00,4.749e-01,4.897e-01,4.742e-01,4.746e-01,4.729e-01,5.036e-01,5.036e-01,5.036e-01
3.000e-01,3.000e+03,1.000e+00,3.300e+00,1.000e+00,4.500e+00,1.095e+00,1.046e+00,1.075e+00,1.076e+00,1.073e+00,9.853e-01,9.853e-01,9.853e-01
1.000e-01,3.000e+03,1.000e+00,3.400e+00,1.000e+00,4.500e+00,4.840e-01,5.002e-01,4.835e-01,4.838e-01,4.822e-01,5.140e-01,5.140e-01,5.140e-01
3.000e-01,3.000e+03,1.000e+00,3.400e+00,1.000e+00,4.500e+00,1.107e+00,1.060e+00,1.088e+00,1.090e+00,1.087e+00,9.999e-01,9.999e-01,9.999e-01
1.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.930e-01,5.105e-01,4.927e-01,4.930e-01,4.913e-01,5.243e-01,5.243e-01,5.243e-01
3.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.120e+00,1.073e+00,1.101e+00,1.103e+00,1.100e+00,1.014e+00,1.014e+00,1.014e+00
1.000e-01,3.000e+03,1.000e+00,3.600e+00,1.000e+00,4.500e+00,5.020e-01,5.208e-01,5.017e-01,5.020e-01,5.004e-01,5.345e-01,5.345e-01,5.345e-01
3.000e-01,3.000e+03,1.000e+00,3.600e+00,1.000e+00,4.500e+00,1.132e+00,1.086e+00,1.114e+00,1.116e+00,1.113e+00,1.029e+00,1.029e+00,1.029e+00
1.000e-01,3.000e+03,1.000e+00,3.700e+00,1.000e+00,4.500e+00,5.108e-01,5.309e-01,5.107e-01,5.109e-01,5.093e-01,5.445e-01,5.445e-01,5.445e-01
3.000e-01,3.000e+03,1.000e+00,3.700e+00,1.000e+00,4.500e+00,1.144e+00,1.100e+00,1.127e+00,1.129e+00,1.126e+00,1.043e+00,1.043e+00,1.043e+00
1.000e-01,3.000e+03,1.000e+00,3.800e+00,1.000e+00,4.500e+00,5.196e-01,5.410e-01,5.195e-01,5.196e-01,5.182e-01,5.544e-01,5.544e-01,5.544e-01
3.000e-01,3.000e+03,1.000e+00,3.800e+00,1.000e+00,4.500e+00,1.156e+00,1.112e+00,1.140e+00,1.142e+00,1.139e+00,1.057e+00,1.057e+00,1.057e+00
1.000e-01,3.000e+03,1.000e+00,3.900e+00,1.000e+00,4.500e+00,5.283e-01,5.509e-01,5.283e-01,5.283e-01,5.269e-01,5.641e-01,5.641e-01,5.641e-01
3.000e-01,3.000e+03,1.000e+00,3.900e+00,1.000e+00,4.500e+00,1.168e+00,1.125e+00,1.152e+00,1.154e+00,1.152e+00,1.070e+00,1.070e+00,1.070e+00
1.000e-01,3.000e+03,1.000e+00,4.000e+00,1.000e+00,4.500e+00,5.369e-01,5.608e-01,5.369e-01,5.369e-01,5.355e-01,5.738e-01,5.738e-01,5.738e-01
3.000e-01,3.000e+03,1.000e+00,4.000e+00,1.000e+00,4.500e+00,1.180e+00,1.138e+00,1.165e+00,1.166e+00,1.164e+00,1.084e+00,1.084e+00,1.084e+00
