pf,N,m,T,sigma,cut,enskog_F-CS,enskog_F-kolafa,enskog_F-thol,enskog_F-mecke,enskog_F-gottschalk,enskog_F-hess,enskog_RDF_CS,enskog_RDF_LJ,enskog_fit_F-CS,enskog_fit_F-kolafa,omega,enskog_fit_F-thol,enskog_fit_F-mecke,enskog_fit_F-gottschalk,enskog_fit_F-hess,enskog_fit_rdf-CS,enskog_fit_rdf-LJ
3.400e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.266e+00,1.144e+00,1.219e+00,1.222e+00,1.206e+00,9.972e-01,9.972e-01,9.972e-01,1.037e+00,9.290e-01,1.233e+00,1.010e+00,1.011e+00,1.002e+00,7.812e-01,1.465e+00,8.978e-01
3.400e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.413e+00,1.311e+00,1.379e+00,1.381e+00,1.375e+00,1.162e+00,1.162e+00,1.162e+00,1.191e+00,1.064e+00,1.209e+00,1.163e+00,1.164e+00,1.163e+00,9.130e-01,1.866e+00,1.204e+00
3.600e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.244e+00,1.060e+00,1.160e+00,1.180e+00,8.713e-01,8.975e-01,8.975e-01,8.975e-01,1.034e+00,9.602e-01,1.133e+00,1.055e+00,1.069e+00,7.830e-01,7.868e-01,1.266e+00,6.275e-01
3.600e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.442e+00,1.274e+00,1.384e+00,1.388e+00,1.365e+00,1.071e+00,1.071e+00,1.071e+00,1.189e+00,1.040e+00,1.233e+00,1.153e+00,1.155e+00,1.141e+00,8.415e-01,1.720e+00,1.000e+00
3.600e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.595e+00,1.454e+00,1.552e+00,1.554e+00,1.546e+00,1.243e+00,1.243e+00,1.243e+00,1.352e+00,1.186e+00,1.209e+00,1.316e+00,1.317e+00,1.314e+00,9.791e-01,2.191e+00,1.341e+00
3.800e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.440e+00,1.190e+00,1.341e+00,1.365e+00,9.236e-01,9.720e-01,9.720e-01,9.720e-01,1.206e+00,1.085e+00,1.133e+00,1.229e+00,1.245e+00,8.307e-01,8.545e-01,1.490e+00,7.006e-01
3.800e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.649e+00,1.423e+00,1.577e+00,1.582e+00,1.551e+00,1.150e+00,1.150e+00,1.150e+00,1.367e+00,1.167e+00,1.233e+00,1.322e+00,1.324e+00,1.304e+00,9.056e-01,2.025e+00,1.118e+00
3.800e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.807e+00,1.617e+00,1.752e+00,1.754e+00,1.744e+00,1.328e+00,1.328e+00,1.328e+00,1.541e+00,1.326e+00,1.209e+00,1.493e+00,1.495e+00,1.490e+00,1.049e+00,2.579e+00,1.496e+00
4.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.673e+00,1.342e+00,1.558e+00,1.585e+00,9.718e-01,1.051e+00,1.051e+00,1.051e+00,1.410e+00,1.231e+00,1.133e+00,1.437e+00,1.456e+00,8.739e-01,9.263e-01,1.759e+00,7.860e-01
4.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,1.889e+00,1.593e+00,1.802e+00,1.808e+00,1.767e+00,1.233e+00,1.233e+00,1.233e+00,1.577e+00,1.314e+00,1.233e+00,1.520e+00,1.523e+00,1.495e+00,9.735e-01,2.389e+00,1.251e+00
