pf, N, m, T, sigma, cut, Z, error, EOS_CS, EOS_kolafa, EOS_gottschalk, EOS_thol, EOS_mecke, EOS_hess
2.500e-02, 6.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 9.448e-01, 1.091e-03, 1.107e+00, 9.421e-01, 9.072e-01, 9.926e-01, 9.565e-01, 9.099e-01
5.000e-02, 6.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 8.977e-01, 1.139e-02, 1.227e+00, 8.968e-01, 8.256e-01, 9.860e-01, 9.273e-01, 8.376e-01
7.500e-02, 6.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 8.526e-01, 2.020e-02, 1.365e+00, 8.692e-01, 7.565e-01, 9.801e-01, 9.148e-01, 7.876e-01
1.000e-01, 6.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 8.196e-01, 3.010e-02, 1.521e+00, 8.618e-01, 6.964e-01, 9.750e-01, 9.213e-01, 7.650e-01
2.500e-02, 6.000e+03, 1.000e+00, 2.100e+00, 1.000e+00, 4.500e+00, 9.543e-01, 7.874e-04, 1.107e+00, 9.503e-01, 9.138e-01, 9.943e-01, 9.636e-01, 9.165e-01
5.000e-02, 6.000e+03, 1.000e+00, 2.100e+00, 1.000e+00, 4.500e+00, 9.123e-01, 8.379e-03, 1.227e+00, 9.129e-01, 8.387e-01, 9.893e-01, 9.416e-01, 8.507e-01
7.500e-02, 6.000e+03, 1.000e+00, 2.100e+00, 1.000e+00, 4.500e+00, 8.803e-01, 1.210e-02, 1.365e+00, 8.931e-01, 7.761e-01, 9.850e-01, 9.362e-01, 8.069e-01
1.000e-01, 6.000e+03, 1.000e+00, 2.100e+00, 1.000e+00, 4.500e+00, 8.624e-01, 1.805e-02, 1.521e+00, 8.933e-01, 7.242e-01, 9.815e-01, 9.499e-01, 7.903e-01
2.500e-02, 6.000e+03, 1.000e+00, 2.200e+00, 1.000e+00, 4.500e+00, 9.600e-01, 1.214e-03, 1.107e+00, 9.577e-01, 9.205e-01, 9.958e-01, 9.701e-01, 9.231e-01
5.000e-02, 6.000e+03, 1.000e+00, 2.200e+00, 1.000e+00, 4.500e+00, 9.247e-01, 7.418e-03, 1.227e+00, 9.275e-01, 8.519e-01, 9.922e-01, 9.546e-01, 8.639e-01
7.500e-02, 6.000e+03, 1.000e+00, 2.200e+00, 1.000e+00, 4.500e+00, 8.981e-01, 1.613e-02, 1.365e+00, 9.147e-01, 7.959e-01, 9.894e-01, 9.557e-01, 8.266e-01
1.000e-01, 6.000e+03, 1.000e+00, 2.200e+00, 1.000e+00, 4.500e+00, 8.912e-01, 1.089e-02, 1.521e+00, 9.217e-01, 7.517e-01, 9.873e-01, 9.759e-01, 8.162e-01
2.500e-02, 6.000e+03, 1.000e+00, 2.300e+00, 1.000e+00, 4.500e+00, 9.652e-01, 7.300e-04, 1.107e+00, 9.643e-01, 9.272e-01, 9.971e-01, 9.761e-01, 9.299e-01
5.000e-02, 6.000e+03, 1.000e+00, 2.300e+00, 1.000e+00, 4.500e+00, 9.369e-01, 8.027e-03, 1.227e+00, 9.408e-01, 8.652e-01, 9.949e-01, 9.665e-01, 8.774e-01
