pf, N, m, T, sigma, cut, viscosity, error, enskog_F-CS, enskog_F-kolafa, enskog_F-thol, enskog_F-mecke, enskog_F-gottschalk, enskog_F-hess, enskog_RDF_CS, enskog_RDF_LJ,enskog_fit_F-CS,enskog_fit_F-kolafa,omega,enskog_fit_F-thol,enskog_fit_F-mecke,enskog_fit_F-gottschalk,enskog_fit_F-hess,enskog_fit_rdf-CS,enskog_fit_rdf-LJ
1.000e-01,6.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.354e-01,1.492e-03,2.919e-01,2.661e-01,2.667e-01,2.678e-01,2.653e-01,2.731e-01,2.697e-01,3.470e-01,2.354e-01,2.354e-01,1.133e+00,2.354e-01,2.354e-01,2.354e-01,2.354e-01,2.354e-01,2.354e-01
1.000e-01,6.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.198e-01,2.654e-03,3.990e-01,4.008e-01,3.942e-01,3.949e-01,3.929e-01,4.132e-01,3.482e-01,4.010e-01,3.198e-01,3.198e-01,1.233e+00,3.198e-01,3.198e-01,3.198e-01,3.198e-01,3.198e-01,3.198e-01
1.000e-01,6.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.074e-01,4.170e-03,4.930e-01,5.105e-01,4.927e-01,4.930e-01,4.913e-01,5.243e-01,4.120e-01,4.573e-01,4.074e-01,4.074e-01,1.209e+00,4.074e-01,4.074e-01,4.074e-01,4.074e-01,4.074e-01,4.074e-01
3.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,7.270e-01,1.129e-02,8.161e-01,7.607e-01,7.770e-01,7.855e-01,7.024e-01,6.986e-01,8.924e-01,6.802e-01,6.582e-01,6.730e-01,1.133e+00,6.859e-01,6.903e-01,6.233e-01,6.023e-01,7.788e-01,4.614e-01
3.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,8.359e-01,1.493e-02,9.850e-01,9.285e-01,9.579e-01,9.598e-01,9.526e-01,8.620e-01,1.152e+00,9.067e-01,7.895e-01,7.409e-01,1.233e+00,7.770e-01,7.772e-01,7.755e-01,6.672e-01,1.058e+00,7.231e-01
3.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,8.876e-01,1.657e-02,1.120e+00,1.073e+00,1.101e+00,1.103e+00,1.100e+00,1.014e+00,1.363e+00,1.087e+00,9.254e-01,8.565e-01,1.209e+00,9.107e-01,9.115e-01,9.121e-01,7.881e-01,1.348e+00,9.681e-01
