# Time-averaged data for fix PRESSURE
# TimeStep c_P c_T v_L
1000 0.596705 1.48504 8.05996
2000 0.582302 1.4864 8.05996
3000 0.613932 1.48422 8.05996
4000 0.579089 1.48721 8.05996
5000 0.600838 1.48624 8.05996
6000 0.620882 1.48407 8.05996
7000 0.619889 1.4849 8.05996
8000 0.644195 1.48336 8.05996
9000 0.610468 1.48555 8.05996
10000 0.613577 1.48539 8.05996
11000 0.579128 1.48858 8.05996
12000 0.630357 1.48435 8.05996
13000 0.608721 1.48561 8.05996
14000 0.594651 1.48779 8.05996
15000 0.619944 1.48648 8.05996
16000 0.58731 1.48746 8.05996
17000 0.566155 1.48988 8.05996
18000 0.630641 1.48445 8.05996
19000 0.587712 1.48816 8.05996
20000 0.61861 1.48658 8.05996
21000 0.570168 1.49041 8.05996
22000 0.608739 1.48808 8.05996
23000 0.625091 1.48654 8.05996
24000 0.591378 1.48903 8.05996
25000 0.566336 1.49137 8.05996
26000 0.595865 1.48921 8.05996
27000 0.565243 1.49118 8.05996
28000 0.571526 1.4913 8.05996
29000 0.621706 1.488 8.05996
30000 0.634154 1.48628 8.05996
31000 0.598858 1.48925 8.05996
32000 0.626183 1.48809 8.05996
33000 0.588979 1.49101 8.05996
34000 0.645137 1.48608 8.05996
35000 0.609991 1.4893 8.05996
36000 0.636823 1.48708 8.05996
37000 0.58547 1.4913 8.05996
38000 0.619649 1.48886 8.05996
39000 0.605092 1.48926 8.05996
40000 0.644671 1.48716 8.05996
41000 0.636987 1.48789 8.05996
42000 0.586276 1.49171 8.05996
43000 0.58151 1.49241 8.05996
44000 0.61387 1.48931 8.05996
45000 0.627036 1.48861 8.05996
46000 0.607553 1.49009 8.05996
47000 0.579869 1.49257 8.05996
48000 0.586822 1.49157 8.05996
49000 0.608212 1.49054 8.05996
50000 0.584789 1.49247 8.05996
