# Time-averaged data for fix PRESSURE
# TimeStep c_P c_T v_L
1000 0.0797024 1.49814 13.7823
2000 0.0792135 1.4978 13.7823
3000 0.0758643 1.49936 13.7823
4000 0.0803865 1.4978 13.7823
5000 0.079934 1.49806 13.7823
6000 0.0787042 1.49826 13.7823
7000 0.0759754 1.49943 13.7823
8000 0.0767298 1.49918 13.7823
9000 0.0778158 1.49877 13.7823
10000 0.0807657 1.49759 13.7823
11000 0.0809969 1.49744 13.7823
12000 0.0770575 1.49891 13.7823
13000 0.0769906 1.49903 13.7823
14000 0.0803705 1.49789 13.7823
15000 0.076084 1.49947 13.7823
16000 0.0778626 1.49892 13.7823
17000 0.0792248 1.49816 13.7823
18000 0.0765535 1.4991 13.7823
19000 0.0795025 1.49842 13.7823
20000 0.0785415 1.49847 13.7823
