# Time-averaged data for fix PRESSURE
# TimeStep c_P c_T v_L
1000 0.456053 1.48673 8.68233
2000 0.409192 1.4912 8.68233
3000 0.419007 1.49033 8.68233
4000 0.419181 1.49072 8.68233
5000 0.413766 1.49109 8.68233
6000 0.425832 1.48964 8.68233
7000 0.440933 1.48908 8.68233
8000 0.444204 1.48878 8.68233
9000 0.442345 1.48877 8.68233
10000 0.450114 1.48815 8.68233
11000 0.448822 1.4884 8.68233
12000 0.439142 1.48985 8.68233
13000 0.413018 1.49193 8.68233
14000 0.409881 1.49279 8.68233
15000 0.422469 1.49139 8.68233
16000 0.417301 1.49246 8.68233
17000 0.428246 1.4915 8.68233
18000 0.42743 1.49102 8.68233
19000 0.43039 1.49123 8.68233
20000 0.450271 1.48929 8.68233
