# Time-averaged data for fix PRESSURE
# TimeStep c_P c_T v_L
1000 0.170852 1.49608 10.939
2000 0.17585 1.49516 10.939
3000 0.174363 1.49553 10.939
4000 0.182516 1.49377 10.939
5000 0.168349 1.49657 10.939
6000 0.170924 1.49612 10.939
7000 0.180793 1.49455 10.939
8000 0.172168 1.49609 10.939
9000 0.16567 1.49725 10.939
10000 0.17677 1.49538 10.939
11000 0.172692 1.49619 10.939
12000 0.176696 1.49556 10.939
13000 0.17029 1.49689 10.939
14000 0.176524 1.49575 10.939
15000 0.16718 1.49742 10.939
16000 0.166332 1.49784 10.939
17000 0.167085 1.49737 10.939
18000 0.180999 1.49464 10.939
19000 0.169467 1.49702 10.939
20000 0.179417 1.49531 10.939
