# Time-averaged data for fix PRESSURE
# TimeStep c_P c_T v_L
1000 0.00725531 1.50019 29.6931
2000 0.00718122 1.50045 29.6931
3000 0.0071692 1.50049 29.6931
4000 0.00718963 1.50044 29.6931
5000 0.00722348 1.50026 29.6931
6000 0.00724197 1.5003 29.6931
7000 0.00723495 1.50024 29.6931
8000 0.00724113 1.50026 29.6931
9000 0.00720869 1.50038 29.6931
10000 0.00725493 1.50015 29.6931
11000 0.00718497 1.50044 29.6931
12000 0.00722737 1.5003 29.6931
13000 0.00725972 1.50014 29.6931
14000 0.00716966 1.50045 29.6931
15000 0.0071626 1.50047 29.6931
16000 0.00715934 1.50046 29.6931
17000 0.00721062 1.50031 29.6931
18000 0.00716814 1.50045 29.6931
19000 0.00729941 1.50007 29.6931
20000 0.00718343 1.5004 29.6931
21000 0.00721692 1.50032 29.6931
22000 0.00733208 1.49991 29.6931
23000 0.0071641 1.50045 29.6931
24000 0.00724211 1.50022 29.6931
25000 0.00719057 1.50037 29.6931
26000 0.00721727 1.50032 29.6931
27000 0.00729084 1.50009 29.6931
28000 0.00739561 1.49962 29.6931
29000 0.00717231 1.50042 29.6931
30000 0.00727833 1.50013 29.6931
31000 0.00723494 1.50025 29.6931
32000 0.00720523 1.5003 29.6931
33000 0.00725681 1.50013 29.6931
34000 0.00728505 1.50002 29.6931
35000 0.00717621 1.50039 29.6931
36000 0.00722397 1.50026 29.6931
37000 0.00723921 1.50018 29.6931
38000 0.00720377 1.50032 29.6931
39000 0.00722987 1.50027 29.6931
40000 0.00718814 1.50036 29.6931
41000 0.00721474 1.50027 29.6931
42000 0.00725034 1.50015 29.6931
43000 0.00719573 1.50033 29.6931
44000 0.00715681 1.50042 29.6931
45000 0.00723525 1.50016 29.6931
46000 0.00716734 1.50041 29.6931
47000 0.00715677 1.50041 29.6931
48000 0.00715892 1.50041 29.6931
49000 0.00723516 1.5001 29.6931
50000 0.00718354 1.50034 29.6931
