Run,Step,TotEng,PotEng,KinEng,Temp,Press,Volume
2,6600,2.2505087,0.044083351,2.2064253,1.4724227,1.3547538,2617.9939
2,6700,2.2504764,0.03425627,2.2162201,1.4789591,1.211474,2617.9939
2,6800,2.2506933,0.057335696,2.1933576,1.4637021,1.4950467,2617.9939
2,6900,2.2506607,0.048575142,2.2020856,1.4695266,1.3918754,2617.9939
2,7000,2.2507572,0.042693735,2.2080635,1.4735158,1.2843159,2617.9939
2,7100,2.250719,0.043309536,2.2074094,1.4730794,1.3582565,2617.9939
2,7200,2.250725,0.04521064,2.2055144,1.4718147,1.3725211,2617.9939
2,7300,2.2508092,0.052642411,2.1981668,1.4669114,1.434147,2617.9939
2,7400,2.2508449,0.067314778,2.1835301,1.4571439,1.6499332,2617.9939
2,7500,2.250834,0.050726381,2.2001076,1.4682066,1.4618997,2617.9939
2,7600,2.2509165,0.060608331,2.1903082,1.4616671,1.5914413,2617.9939
2,7700,2.2509764,0.051854782,2.1991216,1.4675486,1.4335539,2617.9939
2,7800,2.2509849,0.024929748,2.2260552,1.4855223,1.0619384,2617.9939
2,7900,2.2510074,0.060170654,2.1908368,1.4620199,1.5794851,2617.9939
2,8000,2.2510353,0.04994399,2.2010913,1.4688631,1.4148785,2617.9939
2,8100,2.2512252,0.047824454,2.2034007,1.4704042,1.3479591,2617.9939
2,8200,2.2511873,0.043296272,2.207891,1.4734007,1.3253728,2617.9939
2,8300,2.251219,0.060898587,2.1903204,1.4616753,1.5653452,2617.9939
2,8400,2.2512813,0.048238491,2.2030428,1.4701654,1.4167575,2617.9939
2,8500,2.2512737,0.05053529,2.2007385,1.4686276,1.409597,2617.9939
2,8600,2.2512847,0.043956363,2.2073283,1.4730253,1.3683201,2617.9939
2,8700,2.2513774,0.045920138,2.2054572,1.4717766,1.3687433,2617.9939
2,8800,2.2514011,0.036483583,2.2149175,1.4780898,1.2684898,2617.9939
2,8900,2.2514059,0.048254347,2.2031515,1.4702379,1.4469467,2617.9939
2,9000,2.2515288,0.033110365,2.2184184,1.4804261,1.1924416,2617.9939
2,9100,2.2515377,0.0442061,2.2073316,1.4730274,1.3625711,2617.9939
2,9200,2.2515976,0.039940427,2.2116572,1.475914,1.2872008,2617.9939
2,9300,2.2515365,0.055689055,2.1958474,1.4653637,1.554404,2617.9939
2,9400,2.2517035,0.042373715,2.2093297,1.4743609,1.3233809,2617.9939
2,9500,2.251776,0.050661486,2.2011145,1.4688785,1.4320539,2617.9939
2,9600,2.251796,0.042141925,2.2096541,1.4745773,1.3317191,2617.9939
2,9700,2.2518733,0.048118654,2.2037546,1.4706404,1.4352966,2617.9939
2,9800,2.251933,0.049586221,2.2023468,1.4697009,1.4150681,2617.9939
2,9900,2.2520053,0.046455758,2.2055495,1.4718382,1.3451706,2617.9939
2,10000,2.2520726,0.055523771,2.1965489,1.4658317,1.4565751,2617.9939
2,10088,2.25202,0.042787236,2.2092328,1.4742961,1.3616787,2617.9939
